perception,image_left,image_right,winner
safe,corr_location_0022_forward.jpg,corr_location_0038_forward.jpg,corr_location_0038_forward.jpg
lively,corr_location_0022_forward.jpg,corr_location_0038_forward.jpg,corr_location_0022_forward.jpg
beautiful,corr_location_0022_forward.jpg,corr_location_0038_forward.jpg,corr_location_0038_forward.jpg
wealthy,corr_location_0022_forward.jpg,corr_location_0038_forward.jpg,corr_location_0038_forward.jpg
depressing,corr_location_0022_forward.jpg,corr_location_0038_forward.jpg,corr_location_0022_forward.jpg
boring,corr_location_0022_forward.jpg,corr_location_0038_forward.jpg,corr_location_0038_forward.jpg
safe,corr_location_0036_right.jpg,corr_location_0033_right.jpg,corr_location_0033_right.jpg
lively,corr_location_0036_right.jpg,corr_location_0033_right.jpg,corr_location_0033_right.jpg
beautiful,corr_location_0036_right.jpg,corr_location_0033_right.jpg,corr_location_0033_right.jpg
wealthy,corr_location_0036_right.jpg,corr_location_0033_right.jpg,corr_location_0033_right.jpg
depressing,corr_location_0036_right.jpg,corr_location_0033_right.jpg,corr_location_0036_right.jpg
boring,corr_location_0036_right.jpg,corr_location_0033_right.jpg,corr_location_0036_right.jpg
safe,corr_location_0027_forward.jpg,corr_location_0036_rear.jpg,corr_location_0027_forward.jpg
lively,corr_location_0027_forward.jpg,corr_location_0036_rear.jpg,corr_location_0036_rear.jpg
beautiful,corr_location_0027_forward.jpg,corr_location_0036_rear.jpg,corr_location_0027_forward.jpg
wealthy,corr_location_0027_forward.jpg,corr_location_0036_rear.jpg,corr_location_0027_forward.jpg
depressing,corr_location_0027_forward.jpg,corr_location_0036_rear.jpg,corr_location_0036_rear.jpg
boring,corr_location_0027_forward.jpg,corr_location_0036_rear.jpg,corr_location_0027_forward.jpg
safe,corr_location_0012_rear.jpg,corr_location_0045_right.jpg,corr_location_0045_right.jpg
lively,corr_location_0012_rear.jpg,corr_location_0045_right.jpg,corr_location_0045_right.jpg
beautiful,corr_location_0012_rear.jpg,corr_location_0045_right.jpg,corr_location_0045_right.jpg
wealthy,corr_location_0012_rear.jpg,corr_location_0045_right.jpg,corr_location_0045_right.jpg
depressing,corr_location_0012_rear.jpg,corr_location_0045_right.jpg,corr_location_0012_rear.jpg
boring,corr_location_0012_rear.jpg,corr_location_0045_right.jpg,corr_location_0012_rear.jpg
safe,corr_location_0008_right.jpg,corr_location_0001_forward.jpg,corr_location_0008_right.jpg
lively,corr_location_0008_right.jpg,corr_location_0001_forward.jpg,equal
beautiful,corr_location_0008_right.jpg,corr_location_0001_forward.jpg,corr_location_0008_right.jpg
wealthy,corr_location_0008_right.jpg,corr_location_0001_forward.jpg,corr_location_0008_right.jpg
depressing,corr_location_0008_right.jpg,corr_location_0001_forward.jpg,corr_location_0001_forward.jpg
boring,corr_location_0008_right.jpg,corr_location_0001_forward.jpg,equal
safe,corr_location_0039_right.jpg,corr_location_0016_forward.jpg,corr_location_0016_forward.jpg
lively,corr_location_0039_right.jpg,corr_location_0016_forward.jpg,corr_location_0016_forward.jpg
beautiful,corr_location_0039_right.jpg,corr_location_0016_forward.jpg,corr_location_0016_forward.jpg
wealthy,corr_location_0039_right.jpg,corr_location_0016_forward.jpg,corr_location_0016_forward.jpg
depressing,corr_location_0039_right.jpg,corr_location_0016_forward.jpg,corr_location_0039_right.jpg
boring,corr_location_0039_right.jpg,corr_location_0016_forward.jpg,corr_location_0039_right.jpg
safe,corr_location_0011_left.jpg,corr_location_0029_right.jpg,corr_location_0029_right.jpg
lively,corr_location_0011_left.jpg,corr_location_0029_right.jpg,corr_location_0029_right.jpg
beautiful,corr_location_0011_left.jpg,corr_location_0029_right.jpg,corr_location_0029_right.jpg
wealthy,corr_location_0011_left.jpg,corr_location_0029_right.jpg,corr_location_0029_right.jpg
depressing,corr_location_0011_left.jpg,corr_location_0029_right.jpg,corr_location_0011_left.jpg
boring,corr_location_0011_left.jpg,corr_location_0029_right.jpg,corr_location_0011_left.jpg
safe,corr_location_0038_rear.jpg,corr_location_0026_right.jpg,corr_location_0038_rear.jpg
lively,corr_location_0038_rear.jpg,corr_location_0026_right.jpg,corr_location_0038_rear.jpg
beautiful,corr_location_0038_rear.jpg,corr_location_0026_right.jpg,corr_location_0038_rear.jpg
wealthy,corr_location_0038_rear.jpg,corr_location_0026_right.jpg,corr_location_0038_rear.jpg
depressing,corr_location_0038_rear.jpg,corr_location_0026_right.jpg,corr_location_0026_right.jpg
boring,corr_location_0038_rear.jpg,corr_location_0026_right.jpg,corr_location_0026_right.jpg
safe,corr_location_0049_forward.jpg,corr_location_0048_rear.jpg,corr_location_0048_rear.jpg
lively,corr_location_0049_forward.jpg,corr_location_0048_rear.jpg,corr_location_0048_rear.jpg
beautiful,corr_location_0049_forward.jpg,corr_location_0048_rear.jpg,corr_location_0048_rear.jpg
wealthy,corr_location_0049_forward.jpg,corr_location_0048_rear.jpg,corr_location_0048_rear.jpg
depressing,corr_location_0049_forward.jpg,corr_location_0048_rear.jpg,corr_location_0049_forward.jpg
boring,corr_location_0049_forward.jpg,corr_location_0048_rear.jpg,corr_location_0049_forward.jpg
safe,corr_location_0020_right.jpg,corr_location_0041_right.jpg,corr_location_0041_right.jpg
lively,corr_location_0020_right.jpg,corr_location_0041_right.jpg,corr_location_0041_right.jpg
beautiful,corr_location_0020_right.jpg,corr_location_0041_right.jpg,corr_location_0041_right.jpg
wealthy,corr_location_0020_right.jpg,corr_location_0041_right.jpg,corr_location_0041_right.jpg
depressing,corr_location_0020_right.jpg,corr_location_0041_right.jpg,corr_location_0020_right.jpg
